Conf. θₙ ; Φₙ,θᵣ=-90,θᵣ=-87,θᵣ=-84,θᵣ=-81,θᵣ=-78,θᵣ=-75,θᵣ=-72,θᵣ=-69,θᵣ=-66,θᵣ=-63,θᵣ=-60,θᵣ=-57,θᵣ=-54,θᵣ=-51,θᵣ=-48,θᵣ=-45,θᵣ=-42,θᵣ=-39,θᵣ=-36,θᵣ=-33,θᵣ=-30,θᵣ=-27,θᵣ=-24,θᵣ=-21,θᵣ=-18,θᵣ=-15,θᵣ=-12,θᵣ=-9,θᵣ=-6,θᵣ=-3,θᵣ=0,θᵣ=3,θᵣ=6,θᵣ=9,θᵣ=12,θᵣ=15,θᵣ=18,θᵣ=21,θᵣ=24,θᵣ=27,θᵣ=30,θᵣ=33,θᵣ=36,θᵣ=39,θᵣ=42,θᵣ=45,θᵣ=48,θᵣ=51,θᵣ=54,θᵣ=57,θᵣ=60,θᵣ=63,θᵣ=66,θᵣ=69,θᵣ=72,θᵣ=75,θᵣ=78,θᵣ=81,θᵣ=84,θᵣ=87,θᵣ=90
-90° ; -45°,-76.72069930069924,-74.27097902097887,-78.8346853146852,-83.10055944055942,-84.5876223776225,-83.96055944056933,-84.5938228438328,-85.96974358975372,-87.19324009325037,-85.54659673660682,-83.16825174826154,-81.07580419581376,-78.57515151516078,-77.43820512821425,-78.352237762247,-77.94468531469451,-77.3576223776315,-79.41030303031239,-81.48962703963662,-82.377692307702,-84.1281118881218,-85.80389277390287,-81.86657342658307,-78.22389277390198,-76.91305361306267,-78.8179720279813,-79.83941724942665,-79.3863403263497,-77.67972027972944,-73.76251748252619,-71.08526806527644,-74.19741258742131,-78.35773892774816,-83.32293706294686,-85.32386946387952,-84.1871328671428,-80.80156177157129,-75.58167832168722,-73.52641025641893,-73.63575757576623,-74.96207459208344,-78.7565501165594,-80.70734265735217,-80.8362470862566,-78.27456876457799,-74.83904428905312,-74.64890442891323,-75.52913752914642,-78.13792540793462,-79.84820512821453,-78.0484149184241,-74.98937062937947,-71.39289044289885,-73.69951048951918,-78.53137529138456,-81.73477855478816,-84.40790209790235,-83.37426573426589,-78.73261072261067,-74.04867132867098,-77.76825174825073
-90° ; -42°,-76.64087412587412,-74.29216783216775,-78.75453379953376,-82.96111888111892,-84.5162237762239,-84.0618414918514,-84.85417249418248,-86.39638694639713,-87.69682983684018,-86.08620046621061,-83.64389277390262,-81.43372960373921,-78.56128205129131,-77.17818181819091,-77.98524475525393,-77.74354312355227,-76.97219114220022,-79.3612587412681,-81.05417249418204,-81.94745920746885,-83.87951048952037,-85.77962703963715,-82.47857808858782,-79.06655011655943,-77.17123543124453,-78.39580419581341,-78.48624708625634,-78.06510489511409,-76.67778554779458,-73.6977389277476,-71.76069930070774,-74.85118881119763,-78.66046620047547,-82.91787878788854,-84.09375291376281,-82.48494172495144,-79.4314452214546,-74.31181818182694,-72.46743589744443,-73.2185547785634,-74.82172494173376,-78.32685314686238,-79.60251748252686,-79.3557342657436,-76.57652680653584,-73.1134032634119,-73.64030303031171,-75.3161538461627,-78.17097902098823,-80.11682983683929,-78.73832167833096,-75.74282051282944,-71.82524475525321,-73.99927738928612,-78.95671328672259,-82.34475524476494,-85.14440559440555,-84.01615384615366,-79.0634965034961,-74.08629370629279,-78.08615384615227
-90° ; -39°,-76.55225524475543,-74.40982517482523,-78.98164918414925,-83.25293706293718,-84.82965034965052,-84.33177156178151,-84.95065268066269,-86.30967365968384,-87.54834498835531,-85.85981351982363,-83.37710955711938,-81.12100233101188,-78.24025641026563,-76.81251748252653,-77.76806526807442,-77.74489510490426,-77.0809790209881,-79.24622377623314,-80.70720279721232,-81.71983682984646,-83.49724941725925,-85.29662004663011,-81.84890442891408,-78.2931235431328,-76.69699300700205,-78.28925407926329,-78.76720279721208,-78.41680652681576,-76.65363636364539,-73.53892773893641,-71.39757575758418,-74.93088578089461,-79.33722610723547,-83.73207459208447,-84.78895104896104,-82.728741258751,-79.07538461539393,-73.99592074592947,-72.34773892774744,-72.78941724942584,-73.6839860139947,-76.71564102565006,-78.043519813529,-77.85818181819099,-75.50090909091799,-72.28794871795725,-71.71153846154691,-72.45613053613906,-75.39153846154733,-77.8828205128297,-77.15906759907669,-74.81382284383166,-71.58655011655857,-73.71205128205997,-78.27703962704884,-81.72398601399564,-84.51531468531495,-83.55748251748277,-78.96688811188821,-74.40531468531447,-78.51877622377548
-90° ; -36°,-77.11220279720253,-74.36825174825132,-79.66269230769186,-84.63811188811145,-86.32755244755205,-85.32874125875132,-85.25230769231773,-85.9206759906861,-86.8731934732037,-85.12813519814524,-82.68550116551091,-80.32995337996283,-77.47885780886692,-76.04850815851712,-77.25897435898347,-77.46072261073174,-76.89340326341232,-78.27160839161762,-80.6748951049046,-81.81703962704928,-83.73487179488166,-85.19687645688649,-81.1737529137625,-77.07111888112796,-75.65328671329561,-78.18375291376212,-79.88706293707236,-79.1403962704056,-77.65699300700217,-73.69757575758445,-71.38216783217622,-74.74895104895984,-78.95356643357574,-83.4478554778653,-85.04512820513823,-83.70317016318002,-80.15762237763181,-76.06090909091805,-74.91165501166384,-74.26270396271269,-74.0731934732022,-76.1758974359064,-77.02090909091817,-76.37317016317917,-74.33624708625584,-71.70137529138375,-70.05925407926233,-69.94904428905252,-72.77780885781743,-75.46291375292265,-75.08717948718835,-73.4326340326427,-71.09638694639533,-73.08981351982212,-77.16853146854058,-80.31447552448498,-82.86370629370646,-82.13559440559457,-78.25970279720289,-74.48898601398577,-78.46690559440519
-90° ; -33°,-77.42155594405585,-74.02506993006972,-79.77936480186465,-85.16741258741256,-86.77706293706304,-85.2566200466301,-84.6949184149284,-84.98247086248088,-85.81641025642037,-84.50512820513815,-82.51212121213092,-80.25972027972972,-77.47813519814434,-76.27065268066167,-77.67818181819096,-77.3400000000091,-77.15405594406505,-78.80440559441487,-80.63198135199085,-80.99585081586036,-82.94881118882095,-84.49696969697968,-82.81039627040602,-80.12529137530082,-77.98312354313273,-77.68219114220028,-77.27820512821424,-76.28256410257309,-76.13417249418146,-73.89529137530009,-73.72883449884317,-75.84202797203692,-78.83221445222375,-82.79160839161814,-84.28405594406587,-83.49508158509144,-80.48438228439176,-78.17498834499756,-78.00275058275977,-77.0805128205219,-76.0763636363726,-75.65752913753805,-73.92965034965907,-71.6034498834583,-69.9254545454628,-69.25594405595221,-68.78547785548595,-69.50909090909909,-71.5866666666751,-73.45906759907626,-73.2938694638781,-72.05186480187331,-70.50806526807358,-72.48191142191996,-76.25065268066167,-79.08855477856409,-81.34426573426552,-80.68958041958008,-77.27395687645611,-73.99206293706169,-77.59358391608176
-90° ; -30°,-77.13169580419572,-73.68772727272699,-78.77379370629347,-83.4483916083915,-84.62846153846155,-83.0895804195902,-82.9458508158606,-83.79188811189798,-84.89293706294707,-84.35925407926402,-83.03230769231747,-81.21811188812146,-78.68932400933328,-77.74850815851731,-78.67559440560369,-77.15662004662913,-76.15372960373858,-78.28333333334255,-79.14965034965967,-80.80580419581369,-83.27226107227088,-85.03589743590744,-82.757762237772,-79.68230769231708,-77.72554778555694,-77.40587412588324,-76.84312354313259,-76.56030303031206,-75.44629370630261,-73.93398601399473,-73.37279720280586,-75.16995337996224,-76.90529137530042,-79.65153846154784,-81.26822843823801,-81.93473193474159,-81.12337995338952,-78.87526806527738,-77.39510489511402,-76.30146853147751,-75.37696969697856,-74.95976689977574,-73.55923076923943,-71.02976689977528,-69.55463869464688,-69.42918414919232,-70.65004662005494,-72.15000000000852,-72.99321678322539,-73.44347319348185,-73.1103962704049,-71.89251748252596,-71.08571095571935,-73.05976689977552,-76.68613053613959,-79.30088578089511,-81.31048951048969,-80.51209790209806,-77.05153263403272,-73.66409090909072,-76.72512237762162
-90° ; -27°,-76.86659090909093,-73.44164335664325,-77.88111305361296,-82.01069930069929,-83.03923076923083,-81.70962703963667,-81.8289510489607,-83.01883449884429,-84.15846153847144,-84.05806526807517,-83.34009324010307,-82.11762237763206,-79.98643356644298,-79.03983682984614,-79.52846153847092,-77.42892773893688,-75.79358974359869,-78.21799533800454,-79.10468531469463,-81.36412587413547,-83.48813519814503,-84.83764568765567,-81.85932400933365,-78.50191142192067,-76.92382284383191,-77.23377622378531,-76.86517482518387,-76.70349650350555,-75.0092074592163,-73.67342657343526,-72.87806526807385,-74.89237762238645,-76.80673659674565,-79.44692307693244,-80.60438228439178,-80.6583449883545,-79.74806526807465,-76.85599067599973,-74.8339393939482,-74.62449883450763,-74.98736596737481,-74.87727272728154,-73.97251748252621,-71.55044289045134,-70.33608391609222,-70.42065268066096,-72.60643356644212,-74.55813519814397,-74.53571095571975,-73.99836829837702,-73.45762237763103,-71.99965034965884,-71.53340326341169,-73.44759906760773,-77.10389277390186,-79.77375291376232,-81.81000000000004,-80.92356643356639,-77.23833333333314,-73.55874125874088,-76.46402097902009
-90° ; -24°,-76.57012237762233,-73.572762237762,-77.53856060606039,-81.23769230769214,-82.2861538461537,-81.443263403273,-82.23272727273695,-84.041888111898,-85.43979020980026,-85.26207459208463,-84.51146853147849,-83.46662004662987,-81.2093706293802,-80.1227272727367,-80.18193473194418,-77.59030303031216,-75.95333333334227,-78.81923076924005,-79.32160839161774,-81.1633566433662,-83.37081585082566,-85.12279720280723,-82.104988344998,-78.92787878788808,-77.30251748252658,-77.00419580420487,-76.20780885781784,-75.94904428905325,-74.31899766900642,-73.33673659674523,-72.91545454546312,-75.3037529137618,-77.41200466201377,-79.56729603730541,-79.41743589744524,-78.09710955711876,-77.10223776224683,-73.1815850815937,-70.08664335665162,-72.38937062937916,-76.47200466201366,-77.91046620047538,-78.27531468532392,-76.57046620047521,-75.03820512821397,-74.49412587413465,-77.78386946387863,-80.77314685315639,-78.8872027972121,-76.54377622378524,-75.61312354313245,-73.18759906760769,-72.14911421912274,-74.16673659674535,-78.20839160840082,-81.09144522145479,-83.31510489510502,-82.22601398601417,-77.95967948717967,-73.71681818181803,-77.01277972027891
-90° ; -21°,-76.05243006993015,-74.10262237762235,-77.77671911421912,-81.12279720279727,-82.2697202797204,-81.95386946387912,-83.20738927739907,-85.28909090910098,-86.93948717949743,-85.95389277390291,-84.28983682984676,-82.77372960373935,-80.47459207460155,-79.5432867132961,-79.99752913753855,-78.24475524476445,-77.35568764569675,-79.96780885781828,-80.84696969697922,-81.60862470863432,-83.53006993007978,-85.479393939404,-82.25414918415888,-79.08699300700233,-77.3644055944147,-77.1198368298459,-76.67331002331906,-76.4374358974449,-75.20958041958927,-73.44018648019514,-72.5157109557195,-75.4251748251837,-78.29662004662927,-81.20060606061563,-81.05440559441513,-79.04923076924008,-77.08344988345897,-72.21452214453065,-69.53750582751401,-71.79536130536977,-75.44013986014875,-78.24494172495095,-78.0595571095663,-77.3595337995429,-74.98163170164054,-73.91829836830706,-77.92158508159426,-81.54592074593036,-81.59312354313316,-80.09282051282995,-77.76627039627957,-74.76268065268945,-71.34118881119721,-74.18993006993878,-78.77599067599994,-81.91482517483482,-84.44531468531486,-83.28356643356662,-78.57103146853147,-73.88388111888064,-77.62627622377524
-90° ; -18°,-76.23178321678323,-74.60531468531458,-78.52898601398593,-82.12174825174822,-83.49251748251747,-83.30594405595386,-84.44864801865796,-86.25769230770248,-87.62571095572127,-85.84305361306373,-83.31310023311003,-81.27706293707251,-78.78736596737525,-77.99696969697888,-79.09820512821446,-78.06599067599987,-78.07379953380874,-80.65351981352933,-81.68573426574389,-81.98314685315651,-82.10279720280687,-82.80270396271374,-80.26102564103509,-78.49354312355237,-77.94610722611641,-78.2483449883542,-78.02363636364556,-77.29909090910002,-75.53687645688535,-73.88391608392477,-73.0581118881205,-76.10764568765467,-80.16573426574371,-84.45407925408921,-84.8560372960473,-82.2758275058372,-78.51319347320273,-73.58717948718817,-72.2264801864887,-71.97216783217632,-72.75848484849342,-77.08270396271305,-80.27738927739873,-81.49545454546414,-79.45645687646625,-75.88794871795766,-74.62638694639573,-74.4145221445309,-76.92827505828413,-78.58934731935658,-76.7157342657433,-74.05657342658215,-71.00878787879626,-73.37386946387812,-77.82916083917,-80.91773892774847,-83.454825174825,-82.53188811188777,-78.26282634032569,-73.99954545454425,-77.64830419580244
