Conf. θₙ ; Φₙ,θᵣ=-90,θᵣ=-87,θᵣ=-84,θᵣ=-81,θᵣ=-78,θᵣ=-75,θᵣ=-72,θᵣ=-69,θᵣ=-66,θᵣ=-63,θᵣ=-60,θᵣ=-57,θᵣ=-54,θᵣ=-51,θᵣ=-48,θᵣ=-45,θᵣ=-42,θᵣ=-39,θᵣ=-36,θᵣ=-33,θᵣ=-30,θᵣ=-27,θᵣ=-24,θᵣ=-21,θᵣ=-18,θᵣ=-15,θᵣ=-12,θᵣ=-9,θᵣ=-6,θᵣ=-3,θᵣ=0,θᵣ=3,θᵣ=6,θᵣ=9,θᵣ=12,θᵣ=15,θᵣ=18,θᵣ=21,θᵣ=24,θᵣ=27,θᵣ=30,θᵣ=33,θᵣ=36,θᵣ=39,θᵣ=42,θᵣ=45,θᵣ=48,θᵣ=51,θᵣ=54,θᵣ=57,θᵣ=60,θᵣ=63,θᵣ=66,θᵣ=69,θᵣ=72,θᵣ=75,θᵣ=78,θᵣ=81,θᵣ=84,θᵣ=87,θᵣ=90
-90° ; -15°,-76.87139860139834,-74.64013986013939,-79.28806526806481,-83.6455244755241,-85.26125874125847,-84.75470862471863,-85.41498834499839,-86.55993006994026,-87.49424242425273,-85.33613053614059,-82.39771561772534,-80.0092074592169,-77.6320046620138,-76.68368298369201,-77.65778554779469,-77.4552913753005,-76.77249417250322,-78.4610489510582,-80.99347319348273,-82.72333333334308,-84.35244755245749,-85.31550116551121,-80.23000000000945,-75.85843822844716,-74.77223776224656,-77.88631701632619,-80.19783216784163,-79.78123543124484,-77.627505827515,-73.56174825175694,-70.86815850816684,-74.44627039627917,-78.58911421912346,-83.3541258741357,-85.2724708624809,-84.1989976690076,-80.76055944056895,-76.09065268066163,-74.18706293707167,-73.86314685315554,-74.55801864802743,-77.43419580420493,-78.93249417250347,-78.63815850816776,-76.6375757575848,-74.36920745921621,-73.99167832168702,-74.52965034965912,-76.61114219115122,-77.90319347320266,-76.31671328672229,-73.81853146854016,-71.2367599067683,-73.43636363637228,-77.72072261073177,-80.65617715618666,-83.04629370629371,-82.15496503496497,-78.10021561771538,-74.0565384615378,-77.49585664335538
-90° ; -12°,-76.69760489510479,-74.14290209790178,-78.75469114219081,-83.02874125874095,-84.42923076923049,-83.65624708625694,-84.23200466201457,-85.5044988345089,-86.64048951049972,-85.24310023311028,-83.09948717949696,-81.16328671329627,-78.89268065268993,-77.95638694639614,-78.61878787879716,-77.47179487180401,-76.3190675990766,-78.85790209791138,-80.2691608391703,-82.45365967366938,-84.31659673660666,-85.63205128206137,-81.95240093241061,-78.21797202798125,-76.55811188812089,-77.70715617716533,-78.05216783217703,-78.27580419581341,-76.16722610723508,-73.62041958042826,-71.89895104895952,-74.76275058275938,-78.22491841492763,-82.45955710956683,-84.12013986014978,-83.15988344989324,-80.36720279721226,-75.90389277390172,-74.08976689977564,-74.78165501166382,-76.45599067599969,-78.65424242425169,-78.85983682984615,-77.45247086247998,-75.22328671329558,-73.78291375292244,-75.25743589744476,-76.78953379954285,-77.67326340327257,-77.66219114220029,-76.05675990676886,-73.61965034965903,-71.35559440560282,-73.65650349651219,-77.88335664336583,-80.83186480187432,-83.20062937062964,-82.2158041958045,-78.00817599067628,-73.8421328671329,-77.39085664335633
-90° ; -9°,-76.4720279720279,-73.95426573426552,-78.3658275058273,-82.45279720279707,-83.80426573426564,-83.15079254080236,-83.97773892774882,-85.60466200467208,-86.94771561772589,-85.95729603730618,-84.1900000000099,-82.3946153846251,-79.72655011655948,-78.58620046620973,-79.07745920746851,-77.44195804196718,-76.56748251749153,-79.23687645688578,-80.18205128206073,-81.25282051283008,-83.36235431236415,-85.34351981352987,-82.50179487180459,-79.456363636373,-77.74766899767816,-77.66351981352896,-77.17326340327249,-76.96871794872703,-75.58095571096462,-73.53815850816717,-72.45428904429757,-75.010839160848,-77.86983682984601,-81.13841491842447,-81.81491841492806,-80.5669696969792,-78.86289044289974,-73.76130536131404,-71.77738927739773,-74.29410256411133,-77.99706293707212,-80.94375291376247,-81.03207459208414,-78.95027972028903,-75.4207226107315,-73.14000000000861,-76.26184149185048,-78.64832167833094,-78.9413986014079,-78.3657575757668,-76.73599067599972,-74.08857808858681,-71.53102564103408,-73.96149184150056,-78.31792540793462,-81.33778554779512,-83.77461538461552,-82.71937062937066,-78.29883449883428,-73.90328671328615,-77.51650349650247
-90° ; -6°,-76.53756993006971,-74.2154895104891,-78.55871212121173,-82.59279720279689,-83.99370629370604,-83.45184149185131,-84.27652680653675,-85.8592307692409,-87.15829836830865,-85.81799533800546,-83.75216783217769,-81.82589743590708,-79.24468531469464,-78.22876456877378,-79.01902097903027,-77.88195804196724,-77.11319347320256,-79.54976689977626,-80.28466200467146,-81.554615384625,-83.48107226108208,-85.45317016318025,-81.55426573427535,-78.21426573427495,-76.9968065268156,-77.94988344989264,-78.3817715617808,-78.43650349651273,-76.14344988345886,-73.32948717949581,-71.53855477856321,-75.22995337996225,-78.96748251749182,-82.84995337996315,-83.50212121213104,-81.53552447553407,-78.72710955711884,-73.43624708625575,-71.49750582751426,-73.15431235432098,-75.7692074592164,-79.20864801865734,-80.36389277390224,-79.5442191142285,-76.55407925408828,-73.85086247087116,-75.47585081585972,-77.10412587413495,-78.3938228438321,-78.71930069930997,-76.86435897436803,-74.13613053613926,-71.30540792541632,-73.66326340327208,-77.96990675991594,-80.86097902098855,-83.19776223776215,-82.19909090909066,-78.00421328671274,-73.86213286713175,-77.39141608391415
-90° ; -3°,-76.65749999999986,-74.28940559440537,-78.70931818181799,-82.80979020979011,-84.20685314685315,-83.58636363637348,-84.28137529138523,-85.78060606061617,-87.08529137530164,-85.72972027973037,-83.72997668998654,-81.89398601399566,-79.2629370629464,-78.26911421912345,-79.23044289045222,-77.80818181819099,-77.49093240094153,-80.06948717949662,-80.69890442891392,-81.37198135199095,-82.07417249418215,-83.33011655012636,-80.89475524476477,-78.84993006993935,-78.2299533799626,-78.3359673659766,-77.9312354312446,-77.34692307693219,-75.28023310024196,-73.56617715618584,-72.50729603730458,-75.50354312355203,-79.4933333333427,-83.77869463870451,-84.67480186481184,-82.69069930070904,-79.38787878788816,-74.31624708625584,-72.64002331003185,-73.3596270396357,-75.04741258742143,-78.58580419581347,-80.31177156178103,-80.1005594405689,-77.54531468532382,-74.76163170164052,-75.2433333333422,-76.13841491842388,-77.89853146854065,-78.70172494173421,-76.8105827505918,-74.13951048951922,-71.34939393940233,-73.65053613054482,-77.89899766900685,-80.74247086248037,-83.0351748251749,-82.04139860139854,-77.90021561771523,-73.8131118881109,-77.28417832167668
-90° ; 0°,-76.67304195804206,-74.11951048951047,-78.70719114219114,-82.94391608391612,-84.31657342657351,-83.55072261073245,-84.19538461539454,-85.62736596737605,-86.88918414919439,-85.62083916084926,-83.61137529138514,-81.7045687645784,-79.2003729603823,-78.17515151516074,-78.94592074593004,-77.54552447553361,-76.88328671329577,-79.38512820513756,-80.66361305362257,-82.00046620047587,-83.82897435898423,-85.46818181819187,-82.33571095572064,-79.08398601399533,-77.68370629371545,-78.03573426574346,-77.98111888112807,-77.69482517483434,-75.98575757576653,-73.53226107226973,-72.01969696970544,-74.7065501165589,-77.90146853147772,-81.61512820513782,-82.83981351982328,-81.83258741259705,-79.55750582751519,-75.01125874126758,-73.22093240094105,-74.41230769231646,-76.58634032634934,-79.17666666667598,-79.57093240094177,-78.21724941725864,-75.48223776224664,-73.5582284382371,-75.54319347320238,-77.48382284383196,-78.5201165501258,-78.56184149185073,-76.8250116550207,-74.14699300700174,-71.55913752914596,-73.82004662005531,-77.94997668998587,-80.70286713287665,-82.9340559440558,-81.93181818181797,-77.8201748251745,-73.74076923076831,-77.08094405594258
-90° ; 3°,-76.53036713286718,-74.06066433566426,-78.43022727272722,-82.46573426573428,-83.77286713286719,-83.06342657343636,-83.73953379954366,-85.27100233101238,-86.62955710956732,-85.56766899767908,-83.88587412588402,-82.25878787879756,-79.84200466201406,-78.86997668998598,-79.66904428905367,-77.91874125875044,-77.4157342657434,-79.99156177157118,-80.7434731934827,-81.72032634033597,-83.04069930070908,-84.6512121212221,-81.66284382285343,-79.00969696970627,-78.1876689976782,-78.36710955711878,-78.31414918415841,-78.19491841492764,-76.09857808858706,-73.64146853147722,-71.97396270397118,-74.77289044289925,-78.28951048951971,-82.4472261072358,-83.66736596737582,-82.27384615385586,-79.48328671329608,-74.60729603730483,-72.745897435906,-74.07039627040501,-76.43575757576659,-79.22692307693241,-79.833053613063,-78.61405594406523,-75.90855477856373,-73.98526806527677,-75.89748251749145,-77.67046620047535,-78.61184149185077,-78.50442890443816,-76.63114219115123,-73.91979020979892,-71.36962703963545,-73.69009324010193,-77.83011655012572,-80.65065268066219,-82.92349650349662,-81.95349650349652,-77.86789044289026,-73.81188811188757,-77.17367132867008
-90° ; 6°,-76.81844405594408,-73.97059440559426,-78.65625291375274,-83.0499300699299,-84.48237762237746,-83.65424242425229,-84.19030303031295,-85.56916083917093,-86.82664335665358,-85.79899766900779,-84.00599067600058,-82.07130536131504,-79.1947785547879,-77.93337995338915,-78.6818881118974,-77.56377622378538,-76.57214452215354,-79.18289044289978,-79.46452214453151,-81.09167832168788,-83.23941724942705,-85.30529137530144,-82.45324009324982,-79.3636130536224,-77.41587412588325,-77.53067599068511,-77.08720279721187,-77.3508857808949,-75.2944522144611,-73.42333333334197,-72.38107226108079,-75.39878787879677,-78.68778554779482,-82.25738927739896,-82.90533799534776,-81.2581585081681,-78.7544755244848,-74.21860139861013,-72.92566433567292,-73.93482517483389,-75.72722610723503,-78.9365501165594,-80.24997668998616,-79.4754312354406,-76.6826806526897,-73.93517482518354,-74.71205128206007,-75.70195804196695,-77.2630069930161,-78.02433566434485,-76.40051282052181,-73.93205128205999,-71.41545454546296,-73.5868065268152,-77.67517482518397,-80.41466200467147,-82.62888111888114,-81.6702797202797,-77.66768648018623,-73.71283216783145,-77.06400349650195
-90° ; 9°,-76.49036713286712,-74.18066433566419,-78.59929487179475,-82.67832167832165,-84.05328671328678,-83.4187878787977,-84.09149184150175,-85.660745920756,-87.08813519814547,-85.95477855478869,-84.13051282052274,-82.33529137530107,-79.56016317017253,-78.37349650350573,-79.28629370630304,-77.9668065268157,-77.5915384615476,-80.15426573427519,-80.847179487189,-81.52023310024272,-82.93393939394917,-84.7054079254179,-81.63972027972989,-79.00869463870394,-77.92559440560359,-78.0404895104987,-77.88279720280637,-77.67603729604646,-75.79862470863364,-73.46603729604594,-72.03757575758424,-75.27522144523031,-79.14589743590678,-83.36435897436878,-84.18419580420573,-82.18946386947354,-79.016969696979,-73.8906759906847,-72.12682983683833,-73.18694638695501,-75.14540792541678,-78.6617249417342,-80.23174825175771,-79.989067599077,-77.26263403264312,-74.43659673660551,-75.4095804195893,-76.7343356643447,-78.5082983683076,-79.26324009324944,-77.2946153846245,-74.46400932401811,-71.43368298369138,-73.72459207460076,-77.9396270396362,-80.68428904429857,-82.92545454545451,-81.90664335664319,-77.75479603729562,-73.64269230769162,-77.02645104894988
-90° ; 12°,-76.76367132867126,-73.9633566433565,-78.46155011655,-82.64433566433559,-83.93664335664332,-83.05417249418227,-83.55447552448537,-85.00710955711958,-86.35834498835516,-85.57862470863478,-84.13529137530129,-82.50142191143162,-79.87053613054555,-78.65337995338922,-79.2847319347413,-77.53354312355225,-76.53750582751486,-79.16953379954313,-79.28960372961308,-80.98123543124497,-82.51559440560413,-84.30240093241088,-81.94867132868099,-79.45848484849421,-78.14393939394861,-77.9432867132959,-77.25815850816761,-77.27913752914664,-74.96722610723495,-73.60174825175693,-72.5861771561857,-75.30573426574313,-78.65540792541718,-82.4493006993104,-83.41421911422893,-81.99680652681619,-79.57825174826115,-74.74592074592957,-72.96825174826036,-74.49335664336543,-76.90692307693213,-79.4805361305455,-79.92641025641967,-78.29377622378546,-75.34270396271285,-73.1620512820599,-75.12006993007878,-76.91675990676896,-77.80685314686232,-77.8907459207551,-76.37321678322579,-73.96596736597608,-71.74888111888956,-73.81664335665204,-77.74564102565017,-80.41135198136146,-82.5735664335663,-81.6102797202795,-77.61659673659622,-73.60629370629258,-76.70797202797007
-90° ; 15°,-76.90625874125871,-73.98923076923059,-78.59203962703944,-82.90041958041941,-84.25811188811173,-83.37801864802847,-83.89811188812178,-85.2761771561872,-86.56680652681673,-85.62312354313364,-83.95631701632692,-82.19519813520782,-79.58659673660613,-78.37244755245679,-78.87836829837758,-77.37986013986927,-76.08734265735163,-78.66969696970625,-79.5021911422005,-81.45729603730562,-83.28212121213102,-84.88191142192143,-81.27818181819138,-77.8237995338087,-76.55659673660577,-77.65487179488093,-77.83461538462456,-77.95107226108145,-75.62522144523037,-73.40102564103428,-71.71715617716463,-74.71853146854028,-78.09853146854067,-81.81818181819145,-82.97888111889088,-81.8294638694735,-79.66529137530077,-74.52648018648898,-72.42149184150038,-74.3856643356731,-77.38447552448464,-80.10860139861084,-80.32086247087193,-78.48699300700225,-75.22258741259625,-72.96524475525334,-75.53291375292264,-77.8042890442982,-78.571934731944,-78.41536130537054,-76.84997668998574,-74.27932400933277,-71.82531468532316,-74.03531468532341,-78.18787878788801,-80.97557109558063,-83.21265734265754,-82.17433566433579,-77.98106060606065,-73.80202797202774,-77.09786713286641
-90° ; 18°,-76.66356643356653,-73.9894405594405,-78.55125874125869,-82.8174125874126,-84.24454545454554,-83.53832167833151,-84.22585081586072,-85.73349650350659,-87.07358974360001,-85.98293706294719,-84.09913752914744,-82.20331002331972,-79.50724941725879,-78.25461538462461,-78.85533799534727,-77.70351981352898,-76.68568764569667,-79.22235431236363,-80.5505128205223,-81.92897435898401,-83.94076923077911,-85.65764568765579,-81.62708624709587,-77.94361305362223,-76.50766899767801,-77.78254079254997,-78.21841491842412,-78.10965034965956,-76.16310023310919,-73.291305361314,-71.49869463870307,-74.67445221446101,-77.96233100234019,-81.67365967366929,-82.70720279721255,-81.46850815851775,-79.30839160840095,-74.04911421912294,-71.82114219115066,-73.97167832168704,-77.33580419581331,-80.27158508159452,-80.45806526807473,-78.7400699300792,-75.38265734266623,-73.23729603730466,-76.25736596737495,-78.84284382285311,-79.59123543124483,-79.27384615385549,-77.49911421912334,-74.6453846153934,-71.80850815851662,-74.22951048951924,-78.54489510490436,-81.421608391618,-83.73020979020961,-82.61636363636335,-78.21506993006938,-73.8436363636353,-77.29437062936873
-90° ; 21°,-76.72896853146842,-74.1291258741256,-78.84500582750556,-83.24202797202777,-84.70825174825161,-83.91764568765558,-84.36111888112882,-85.64930069931079,-86.91517482518506,-85.61058275059283,-83.59692307693294,-81.61186480187442,-78.8588111888205,-77.66447552448467,-78.61039627040553,-77.8021445221537,-76.88244755245661,-79.22608391609326,-80.33214452215401,-81.89254079255045,-83.72766899767886,-85.40717948718955,-81.09990675991634,-77.54074592075506,-76.33993006993906,-78.00703962704881,-78.86853146854077,-79.04969696970629,-76.6517715617806,-73.4770629370716,-71.41053613054454,-75.22039627040513,-79.24149184150119,-83.6619813519912,-84.74857808858809,-82.87456876457853,-79.4835198135292,-74.43689976690854,-72.76918414919274,-73.38552447553313,-74.88981351982234,-78.55277389278314,-80.50344988345937,-80.37487179488124,-77.7324475524567,-74.59717948718827,-74.61356643357523,-75.33468531469417,-77.39613053613965,-78.69438228439157,-77.00417249418157,-74.35435897436776,-71.4673892773977,-73.66372960373828,-77.8961072261164,-80.72053613054564,-83.05657342657365,-82.10363636363658,-77.97006410256415,-73.85486013985984,-77.3090384615376
