Conf. θₙ ; Φₙ,N=4,N=16,N=64,N=100
-45 ; 45,-88.81,-87.21,-89.08,-88.86
-42 ; -45,-88.74,-87.49,-84.79,-88.77
-42 ; -42,-88.74,-88.61,-88.79,-89.12
-42 ; -39,-88.81,-88.47,-88.42,-89.34
-42 ; -36,-88.74,-88.91,-88.65,-89.25
-42 ; -33,-88.71,-88.3,-89.5,-87.33
-42 ; -30,-88.8,-88.1,-89.3,-88.43
-42 ; -27,-88.76,-87.61,-85.88,-89.27
-42 ; -24,-89.26,-89.17,-88.94,-88.09
-42 ; -21,-89.22,-88.78,-88.85,-89.75
-42 ; -18,-89.21,-89.57,-89.01,-89.08
-42 ; -15,-89.23,-89.3,-89.17,-89.14
-42 ; -12,-89.23,-88.89,-88.47,-89.39
-42 ; -9,-89.24,-89.67,-88.46,-88.0
-42 ; -6,-89.55,-89.15,-87.61,-88.21
-42 ; -3,-89.59,-89.41,-88.39,-88.65
-42 ; 0,-89.56,-89.34,-89.76,-89.74
-42 ; 3,-89.58,-89.14,-87.45,-89.44
-42 ; 6,-89.54,-89.77,-89.18,-89.7
-42 ; 9,-89.0,-89.04,-86.38,-89.48
-42 ; 12,-88.95,-88.71,-89.12,-88.49
-42 ; 15,-88.98,-89.03,-87.63,-87.84
-42 ; 18,-88.92,-89.69,-87.71,-89.58
-42 ; 21,-88.93,-89.24,-86.88,-88.67
-42 ; 24,-88.9,-89.14,-86.46,-89.43
-42 ; 27,-88.74,-88.9,-85.96,-88.85
-42 ; 30,-88.74,-89.44,-84.49,-87.21
-42 ; 33,-88.73,-88.47,-82.25,-86.45
-42 ; 36,-88.75,-88.68,-85.25,-89.11
-42 ; 39,-88.7,-87.09,-86.72,-89.09
-42 ; 42,-88.67,-86.78,-86.61,-89.02
-42 ; 45,-88.74,-87.74,-89.11,-88.99
-39 ; -45,-88.8,-88.48,-88.53,-85.84
-39 ; -42,-88.75,-88.66,-87.21,-88.57
-39 ; -39,-88.82,-88.36,-87.89,-89.42
-39 ; -36,-88.77,-89.15,-88.9,-89.01
-39 ; -33,-88.78,-88.94,-89.55,-89.66
-39 ; -30,-88.73,-88.6,-87.04,-87.22
-39 ; -27,-88.77,-88.13,-88.09,-88.62
-39 ; -24,-89.27,-88.8,-89.47,-87.19
-39 ; -21,-89.24,-88.98,-88.01,-89.32
-39 ; -18,-89.27,-88.82,-88.71,-89.21
-39 ; -15,-89.23,-89.32,-89.49,-89.7
-39 ; -12,-89.31,-89.4,-89.55,-88.49
-39 ; -9,-89.27,-89.44,-88.23,-85.81
-39 ; -6,-89.59,-89.15,-86.18,-86.82
-39 ; -3,-89.59,-89.36,-89.46,-89.04
-39 ; 0,-89.56,-89.36,-89.54,-89.58
-39 ; 3,-89.56,-89.27,-89.28,-89.37
-39 ; 6,-89.57,-89.79,-89.76,-89.52
-39 ; 9,-88.97,-88.88,-86.48,-88.47
-39 ; 12,-88.96,-88.9,-88.81,-89.15
-39 ; 15,-88.97,-89.14,-89.49,-86.08
-39 ; 18,-88.92,-88.57,-88.78,-89.68
-39 ; 21,-88.92,-89.34,-88.41,-88.29
-39 ; 24,-88.92,-89.18,-86.7,-87.38
-39 ; 27,-88.71,-89.11,-84.78,-88.39
-39 ; 30,-88.72,-89.42,-86.64,-88.66
-39 ; 33,-88.75,-88.18,-84.2,-85.83
-39 ; 36,-88.77,-88.71,-84.16,-85.9
-39 ; 39,-88.74,-88.76,-86.12,-88.35
-39 ; 42,-88.72,-87.99,-86.66,-89.51
-39 ; 45,-88.75,-87.72,-87.53,-88.17
-36 ; -45,-88.78,-89.43,-89.26,-89.32
-36 ; -42,-88.69,-89.42,-87.7,-89.05
-36 ; -39,-88.7,-89.31,-88.85,-89.13
-36 ; -36,-88.76,-89.54,-89.48,-89.18
-36 ; -33,-88.8,-89.42,-88.31,-89.68
-36 ; -30,-88.73,-89.11,-89.25,-88.69
-36 ; -27,-88.71,-89.38,-88.32,-87.83
-36 ; -24,-89.21,-88.82,-89.31,-89.23
-36 ; -21,-89.2,-89.17,-88.99,-88.69
-36 ; -18,-89.26,-89.44,-89.55,-89.28
-36 ; -15,-89.23,-89.68,-89.47,-89.44
-36 ; -12,-89.29,-89.38,-89.58,-89.38
-36 ; -9,-89.27,-89.42,-89.6,-87.66
-36 ; -6,-89.58,-89.6,-87.67,-88.36
-36 ; -3,-89.53,-89.76,-89.77,-89.83
-36 ; 0,-89.49,-89.74,-89.34,-89.72
-36 ; 3,-89.56,-89.08,-89.78,-89.33
-36 ; 6,-89.57,-89.78,-89.78,-89.54
-36 ; 9,-88.92,-89.32,-87.5,-88.43
-36 ; 12,-88.92,-89.73,-87.23,-87.61
-36 ; 15,-88.95,-89.35,-89.66,-89.15
-36 ; 18,-88.96,-89.38,-89.76,-89.77
-36 ; 21,-88.89,-89.37,-87.68,-87.48
-36 ; 24,-88.83,-89.77,-87.42,-87.07
-36 ; 27,-88.75,-89.8,-85.91,-85.75
-36 ; 30,-88.69,-89.74,-86.93,-88.55
-36 ; 33,-88.78,-89.64,-85.75,-84.46
-36 ; 36,-88.71,-89.72,-86.47,-86.78
-36 ; 39,-88.75,-89.64,-87.74,-88.36
-36 ; 42,-88.69,-89.64,-87.69,-88.84
-36 ; 45,-88.76,-88.93,-88.86,-89.64
-33 ; -45,-88.78,-89.54,-88.77,-88.84
-33 ; -42,-88.79,-89.48,-89.12,-88.74
-33 ; -39,-88.74,-89.55,-89.34,-85.54
-33 ; -36,-88.76,-89.6,-89.25,-89.42
-33 ; -33,-88.81,-89.5,-87.33,-89.37
-33 ; -30,-88.77,-89.52,-88.43,-88.58
-33 ; -27,-88.75,-89.45,-89.27,-88.88
-33 ; -24,-89.22,-89.84,-88.09,-87.99
-33 ; -21,-89.27,-89.3,-89.75,-89.01
-33 ; -18,-89.25,-89.34,-89.08,-89.73
-33 ; -15,-89.23,-89.56,-89.14,-89.67
-33 ; -12,-89.21,-89.46,-89.39,-88.33
-33 ; -9,-89.23,-88.99,-88.0,-88.84
-33 ; -6,-89.54,-89.83,-88.21,-89.71
-33 ; -3,-89.56,-89.79,-88.65,-88.55
-33 ; 0,-89.57,-89.73,-89.74,-89.52
-33 ; 3,-89.6,-89.27,-89.44,-89.69
-33 ; 6,-89.57,-89.62,-89.7,-89.7
-33 ; 9,-88.87,-89.75,-89.48,-88.49
-33 ; 12,-88.92,-89.06,-88.49,-87.05
-33 ; 15,-88.92,-89.62,-87.84,-89.05
-33 ; 18,-88.92,-88.94,-89.58,-89.41
-33 ; 21,-88.93,-89.23,-88.67,-85.31
-33 ; 24,-88.97,-89.68,-89.43,-85.67
-33 ; 27,-88.71,-89.29,-88.85,-83.09
-33 ; 30,-88.7,-89.32,-87.21,-83.04
-33 ; 33,-88.71,-89.22,-86.45,-83.32
-33 ; 36,-88.71,-89.82,-89.11,-83.71
-33 ; 39,-88.68,-89.6,-89.09,-86.06
-33 ; 42,-88.72,-89.58,-89.02,-87.89
-33 ; 45,-88.77,-89.66,-88.99,-89.66
-30 ; -45,-88.76,-89.62,-85.84,-88.25
-30 ; -42,-88.75,-89.29,-88.57,-88.74
-30 ; -39,-88.77,-89.3,-89.42,-89.45
-30 ; -36,-88.77,-89.62,-89.01,-88.89
-30 ; -33,-88.71,-89.54,-89.66,-89.1
-30 ; -30,-88.82,-89.19,-87.22,-89.6
-30 ; -27,-88.79,-88.9,-88.62,-89.43
-30 ; -24,-89.18,-89.69,-87.19,-87.91
-30 ; -21,-89.26,-89.42,-89.32,-86.54
-30 ; -18,-89.25,-89.17,-89.21,-89.66
-30 ; -15,-89.23,-89.61,-89.7,-88.92
-30 ; -12,-89.2,-89.24,-88.49,-89.76
-30 ; -9,-89.22,-88.56,-85.81,-89.53
-30 ; -6,-89.57,-89.29,-86.82,-87.67
-30 ; -3,-89.59,-89.79,-89.04,-89.43
-30 ; 0,-89.54,-89.73,-89.58,-89.73
-30 ; 3,-89.58,-89.61,-89.37,-88.98
-30 ; 6,-89.54,-89.84,-89.52,-88.0
-30 ; 9,-88.99,-89.3,-88.47,-89.18
-30 ; 12,-88.95,-88.64,-89.15,-88.46
-30 ; 15,-88.94,-88.67,-86.08,-89.46
-30 ; 18,-88.93,-88.97,-89.68,-89.17
-30 ; 21,-88.89,-88.46,-88.29,-86.0
-30 ; 24,-88.92,-89.16,-87.38,-85.8
-30 ; 27,-88.75,-89.37,-88.39,-82.22
-30 ; 30,-88.71,-89.2,-88.66,-83.39
-30 ; 33,-88.71,-87.74,-85.83,-82.27
-30 ; 36,-88.73,-89.28,-85.9,-82.71
-30 ; 39,-88.75,-89.52,-88.35,-82.45
-30 ; 42,-88.74,-89.28,-89.51,-86.9
-30 ; 45,-88.75,-89.52,-88.17,-88.87
-27 ; -45,-88.79,-89.39,-89.32,-88.07
-27 ; -42,-88.84,-89.35,-89.05,-88.69
-27 ; -39,-88.76,-89.16,-89.13,-84.28
-27 ; -36,-88.74,-89.54,-89.18,-89.75
-27 ; -33,-88.71,-89.52,-89.68,-89.41
-27 ; -30,-88.76,-89.26,-88.69,-88.03
-27 ; -27,-88.76,-89.07,-87.83,-89.62
-27 ; -24,-89.23,-89.53,-89.23,-88.68
-27 ; -21,-89.2,-89.77,-88.69,-89.25
-27 ; -18,-89.25,-89.16,-89.28,-89.35
-27 ; -15,-89.24,-89.17,-89.44,-89.02
-27 ; -12,-89.23,-89.58,-89.38,-89.69
-27 ; -9,-89.25,-89.04,-87.66,-86.79
-27 ; -6,-89.56,-88.47,-88.36,-89.15
-27 ; -3,-89.52,-89.77,-89.83,-88.99
-27 ; 0,-89.54,-89.66,-89.72,-89.66
-27 ; 3,-89.54,-89.4,-89.33,-89.66
-27 ; 6,-89.58,-89.67,-89.54,-88.83
-27 ; 9,-88.95,-89.3,-88.43,-87.69
-27 ; 12,-88.97,-88.85,-87.61,-87.74
-27 ; 15,-88.92,-88.52,-89.15,-89.15
-27 ; 18,-88.91,-88.57,-89.77,-88.81
-27 ; 21,-88.92,-87.5,-87.48,-85.51
-27 ; 24,-88.92,-88.5,-87.07,-83.74
-27 ; 27,-88.72,-88.41,-85.75,-81.71
-27 ; 30,-88.71,-88.75,-88.55,-82.16
-27 ; 33,-88.78,-87.43,-84.46,-82.19
-27 ; 36,-88.71,-87.48,-86.78,-82.0
-27 ; 39,-88.7,-89.21,-88.36,-84.6
-27 ; 42,-88.74,-88.94,-88.84,-87.11
-27 ; 45,-88.71,-89.4,-89.64,-89.1
-24 ; -45,-88.73,-88.81,-88.84,-87.96
-24 ; -42,-88.71,-89.64,-88.74,-89.41
-24 ; -39,-88.72,-89.11,-85.54,-87.15
-24 ; -36,-88.73,-89.57,-89.42,-88.44
-24 ; -33,-88.7,-89.56,-89.37,-88.81
-24 ; -30,-88.72,-89.59,-88.58,-89.24
-24 ; -27,-88.72,-89.26,-88.88,-89.32
-24 ; -24,-89.29,-89.71,-87.99,-89.22
-24 ; -21,-89.25,-89.59,-89.01,-86.42
-24 ; -18,-89.25,-89.12,-89.73,-88.78
-24 ; -15,-89.3,-89.19,-89.67,-89.63
-24 ; -12,-89.33,-89.02,-88.33,-89.41
-24 ; -9,-89.26,-89.62,-88.84,-89.09
-24 ; -6,-89.56,-89.41,-89.71,-89.33
-24 ; -3,-89.53,-88.78,-88.55,-89.57
-24 ; 0,-89.49,-89.66,-89.52,-89.67
-24 ; 3,-89.54,-89.26,-89.69,-89.74
-24 ; 6,-89.56,-89.8,-89.7,-89.8
-24 ; 9,-88.76,-89.57,-88.49,-89.02
-24 ; 12,-88.68,-89.08,-87.05,-87.9
-24 ; 15,-88.8,-88.39,-89.05,-89.2
-24 ; 18,-88.72,-88.5,-89.41,-89.18
-24 ; 21,-88.75,-87.26,-85.31,-86.87
-24 ; 24,-88.75,-87.47,-85.67,-84.3
-24 ; 27,-88.58,-86.89,-83.09,-82.87
-24 ; 30,-88.56,-87.7,-83.04,-84.2
-24 ; 33,-88.6,-87.13,-83.32,-84.05
-24 ; 36,-88.54,-87.45,-83.71,-83.31
-24 ; 39,-88.52,-87.27,-86.06,-86.68
-24 ; 42,-88.61,-88.05,-87.89,-88.0
-24 ; 45,-88.53,-88.83,-89.66,-89.35
-21 ; -45,-88.71,-88.03,-88.25,-88.11
-21 ; -42,-88.71,-88.58,-88.74,-88.63
-21 ; -39,-88.72,-89.36,-89.45,-87.9
-21 ; -36,-88.7,-89.49,-88.89,-88.49
-21 ; -33,-88.72,-89.31,-89.1,-88.5
-21 ; -30,-88.63,-89.34,-89.6,-86.54
-21 ; -27,-88.77,-88.96,-89.43,-88.15
-21 ; -24,-89.27,-89.48,-87.91,-87.57
-21 ; -21,-89.25,-89.4,-86.54,-89.01
-21 ; -18,-89.28,-89.21,-89.66,-88.66
-21 ; -15,-89.28,-88.51,-88.92,-89.15
-21 ; -12,-89.26,-87.9,-89.76,-89.3
-21 ; -9,-89.28,-89.22,-89.53,-88.15
-21 ; -6,-89.53,-88.95,-87.67,-86.46
-21 ; -3,-89.53,-89.22,-89.43,-87.58
-21 ; 0,-89.58,-89.44,-89.73,-89.63
-21 ; 3,-89.53,-89.51,-88.98,-89.35
-21 ; 6,-89.51,-89.62,-88.0,-88.64
-21 ; 9,-88.71,-89.52,-89.18,-87.31
-21 ; 12,-88.75,-89.02,-88.46,-87.93
-21 ; 15,-88.71,-87.82,-89.46,-89.24
-21 ; 18,-88.68,-86.68,-89.17,-88.46
-21 ; 21,-88.73,-86.9,-86.0,-85.4
-21 ; 24,-88.76,-86.5,-85.8,-84.27
-21 ; 27,-88.52,-85.71,-82.22,-82.6
-21 ; 30,-88.51,-86.85,-83.39,-83.17
-21 ; 33,-88.51,-84.81,-82.27,-82.96
-21 ; 36,-88.58,-85.41,-82.71,-84.15
-21 ; 39,-88.55,-85.49,-82.45,-84.35
-21 ; 42,-88.58,-86.96,-86.9,-86.92
-21 ; 45,-88.55,-87.6,-88.87,-88.49
-18 ; -45,-88.74,-88.44,-88.07,-88.54
-18 ; -42,-88.72,-88.96,-88.69,-88.04
-18 ; -39,-88.74,-88.14,-84.28,-87.25
-18 ; -36,-88.72,-89.41,-89.75,-88.52
-18 ; -33,-88.74,-89.37,-89.41,-88.16
-18 ; -30,-88.76,-89.15,-88.03,-86.76
-18 ; -27,-88.7,-89.48,-89.62,-85.73
-18 ; -24,-89.22,-89.56,-88.68,-86.55
-18 ; -21,-89.25,-89.32,-89.25,-87.81
-18 ; -18,-89.23,-89.08,-89.35,-89.41
-18 ; -15,-89.32,-88.89,-89.02,-89.31
-18 ; -12,-89.3,-88.09,-89.69,-88.61
-18 ; -9,-89.25,-88.09,-86.79,-88.32
-18 ; -6,-89.5,-89.1,-89.15,-82.69
-18 ; -3,-89.47,-89.0,-88.99,-86.14
-18 ; 0,-89.5,-89.27,-89.66,-88.98
-18 ; 3,-89.54,-89.36,-89.66,-89.64
-18 ; 6,-89.52,-89.68,-88.83,-86.55
-18 ; 9,-88.68,-89.26,-87.69,-85.08
-18 ; 12,-88.69,-88.56,-87.74,-85.01
-18 ; 15,-88.75,-88.29,-89.15,-87.06
-18 ; 18,-88.77,-87.01,-88.81,-85.14
-18 ; 21,-88.71,-85.71,-85.51,-81.89
-18 ; 24,-88.71,-85.94,-83.74,-80.46
-18 ; 27,-88.54,-85.28,-81.71,-78.84
-18 ; 30,-88.5,-85.23,-82.16,-78.6
-18 ; 33,-88.52,-84.42,-82.19,-77.46000000000001
-18 ; 36,-88.53,-84.33,-82.0,-83.28
-18 ; 39,-88.54,-84.86,-84.6,-82.28
-18 ; 42,-88.46,-85.01,-87.11,-83.68
-18 ; 45,-88.61,-85.69,-89.1,-88.79
-15 ; -45,-88.69,-88.24,-87.96,-88.58
-15 ; -42,-88.67,-88.0,-89.41,-89.71
-15 ; -39,-88.72,-88.3,-87.15,-88.32
-15 ; -36,-88.7,-88.69,-88.44,-87.85
-15 ; -33,-88.72,-88.97,-88.81,-88.22
-15 ; -30,-88.66,-89.22,-89.24,-88.47
-15 ; -27,-88.71,-89.07,-89.32,-87.41
-15 ; -24,-89.26,-89.32,-89.22,-86.67
-15 ; -21,-89.28,-88.3,-86.42,-86.96
-15 ; -18,-89.3,-88.71,-88.78,-89.09
-15 ; -15,-89.28,-88.56,-89.63,-89.67
-15 ; -12,-89.28,-87.5,-89.41,-88.34
-15 ; -9,-89.3,-87.34,-89.09,-87.43
-15 ; -6,-89.51,-88.39,-89.33,-85.89
-15 ; -3,-89.49,-88.81,-89.57,-86.71
-15 ; 0,-89.53,-88.75,-89.67,-88.48
-15 ; 3,-89.54,-89.13,-89.74,-88.29
-15 ; 6,-89.51,-89.74,-89.8,-87.38
-15 ; 9,-88.72,-89.38,-89.02,-82.6
-15 ; 12,-88.7,-88.66,-87.9,-82.42
-15 ; 15,-88.7,-86.98,-89.2,-84.1
-15 ; 18,-88.65,-85.95,-89.18,-83.9
-15 ; 21,-88.71,-85.4,-86.87,-79.58
-15 ; 24,-88.69,-84.43,-84.3,-76.85
-15 ; 27,-88.54,-83.99,-82.87,-75.71000000000001
-15 ; 30,-88.59,-84.4,-84.2,-75.3
-15 ; 33,-88.54,-83.38,-84.05,-74.25
-15 ; 36,-88.54,-83.01,-83.31,-76.02
-15 ; 39,-88.56,-83.47,-86.68,-77.48
-15 ; 42,-88.51,-84.31,-88.0,-80.13
-15 ; 45,-88.53,-84.96,-89.35,-84.02
-12 ; -45,-88.68,-87.88,-88.11,-89.05
-12 ; -42,-88.69,-88.03,-88.63,-86.99
-12 ; -39,-88.75,-88.1,-87.9,-85.36
-12 ; -36,-88.69,-88.43,-88.49,-86.96
-12 ; -33,-88.72,-88.84,-88.5,-88.17
-12 ; -30,-88.72,-88.7,-86.54,-88.19
-12 ; -27,-88.73,-89.3,-88.15,-89.06
-12 ; -24,-89.29,-89.89,-87.57,-87.41
-12 ; -21,-89.32,-89.28,-89.01,-84.39
-12 ; -18,-89.29,-88.31,-88.66,-86.3
-12 ; -15,-89.31,-88.15,-89.15,-89.83
-12 ; -12,-89.28,-88.56,-89.3,-89.19
-12 ; -9,-89.29,-87.61,-88.15,-86.06
-12 ; -6,-89.58,-88.43,-86.46,-84.85
-12 ; -3,-89.55,-88.15,-87.58,-86.53
-12 ; 0,-89.5,-88.76,-89.63,-87.96
-12 ; 3,-89.51,-88.88,-89.35,-88.22
-12 ; 6,-89.55,-89.5,-88.64,-84.78
-12 ; 9,-88.71,-89.68,-87.31,-82.94
-12 ; 12,-88.71,-89.09,-87.93,-81.36
-12 ; 15,-88.72,-88.11,-89.24,-82.02
-12 ; 18,-88.67,-86.94,-88.46,-82.26
-12 ; 21,-88.75,-85.17,-85.4,-78.18
-12 ; 24,-88.7,-84.26,-84.27,-75.38
-12 ; 27,-88.5,-83.76,-82.6,-73.94
-12 ; 30,-88.53,-83.68,-83.17,-72.64
-12 ; 33,-88.52,-83.05,-82.96,-72.61
-12 ; 36,-88.52,-83.4,-84.15,-73.16
-12 ; 39,-88.56,-82.74,-84.35,-75.53
-12 ; 42,-88.54,-83.16,-86.92,-77.6
-12 ; 45,-88.52,-83.75,-88.49,-82.74
-9 ; -45,-88.72,-88.4,-88.54,-86.79
-9 ; -42,-88.64,-87.81,-88.04,-89.35
-9 ; -39,-88.61,-87.74,-87.25,-85.37
-9 ; -36,-88.68,-88.73,-88.52,-86.84
-9 ; -33,-88.71,-88.87,-88.16,-89.26
-9 ; -30,-88.73,-88.12,-86.76,-86.6
-9 ; -27,-88.72,-88.15,-85.73,-89.68
-9 ; -24,-89.29,-88.57,-86.55,-88.13
-9 ; -21,-89.33,-89.52,-87.81,-87.05
-9 ; -18,-89.25,-88.44,-89.41,-86.94
-9 ; -15,-89.25,-87.74,-89.31,-87.44
-9 ; -12,-89.26,-88.24,-88.61,-89.38
-9 ; -9,-89.25,-87.6,-88.32,-88.1
-9 ; -6,-89.5,-86.71,-82.69,-83.87
-9 ; -3,-89.59,-88.7,-86.14,-85.47
-9 ; 0,-89.54,-88.38,-88.98,-87.72
-9 ; 3,-89.52,-89.23,-89.64,-88.07
-9 ; 6,-89.53,-89.73,-86.55,-85.37
-9 ; 9,-88.69,-89.77,-85.08,-81.2
-9 ; 12,-88.74,-89.06,-85.01,-79.68
-9 ; 15,-88.72,-87.67,-87.06,-79.12
-9 ; 18,-88.67,-87.65,-85.14,-79.03999999999999
-9 ; 21,-88.7,-84.36,-81.89,-77.28
-9 ; 24,-88.74,-84.48,-80.46,-74.73
-9 ; 27,-88.54,-83.36,-78.84,-72.64
-9 ; 30,-88.51,-82.83,-78.6,-71.51
-9 ; 33,-88.51,-81.9,-77.46000000000001,-71.52
-9 ; 36,-88.54,-81.93,-83.28,-72.46000000000001
-9 ; 39,-88.5,-83.19,-82.28,-74.03
-9 ; 42,-88.5,-82.43,-83.68,-76.74
-9 ; 45,-88.55,-83.37,-88.79,-80.59
-6 ; -45,-89.6,-86.53,-88.58,-84.62
-6 ; -42,-89.6,-86.9,-89.71,-88.22
-6 ; -39,-89.61,-87.87,-88.32,-86.77
-6 ; -36,-89.57,-88.72,-87.85,-85.17
-6 ; -33,-89.59,-88.7,-88.22,-86.39
-6 ; -30,-89.61,-89.17,-88.47,-86.31
-6 ; -27,-89.6,-88.13,-87.41,-88.82
-6 ; -24,-89.85,-89.25,-86.67,-88.12
-6 ; -21,-89.83,-88.74,-86.96,-85.81
-6 ; -18,-89.89,-88.87,-89.09,-85.03
-6 ; -15,-89.84,-88.45,-89.67,-88.91
-6 ; -12,-89.87,-86.73,-88.34,-89.69
-6 ; -9,-89.81,-88.43,-87.43,-86.86
-6 ; -6,-89.84,-86.87,-85.89,-83.5
-6 ; -3,-89.88,-88.0,-86.71,-84.17
-6 ; 0,-89.84,-88.35,-88.48,-87.39
-6 ; 3,-89.82,-88.33,-88.29,-88.03
-6 ; 6,-89.84,-89.49,-87.38,-85.2
-6 ; 9,-89.3,-89.82,-82.6,-81.98
-6 ; 12,-89.25,-89.7,-82.42,-79.88
-6 ; 15,-89.26,-88.23,-84.1,-78.91
-6 ; 18,-89.29,-87.64,-83.9,-78.67
-6 ; 21,-89.3,-85.74,-79.58,-77.1
-6 ; 24,-89.29,-84.32,-76.85,-74.57
-6 ; 27,-89.28,-83.42,-75.71000000000001,-72.89
-6 ; 30,-89.21,-83.32,-75.3,-71.52
-6 ; 33,-89.22,-81.8,-74.25,-71.44
-6 ; 36,-89.29,-81.91,-76.02,-72.53999999999999
-6 ; 39,-89.24,-82.38,-77.48,-74.17
-6 ; 42,-89.21,-82.18,-80.13,-76.25
-6 ; 45,-89.26,-82.63,-84.02,-80.35
-3 ; -45,-89.63,-86.66,-89.05,-83.98
-3 ; -42,-89.62,-86.89,-86.99,-86.24
-3 ; -39,-89.58,-86.99,-85.36,-88.56
-3 ; -36,-89.56,-87.5,-86.96,-86.77
-3 ; -33,-89.62,-87.95,-88.17,-87.26
-3 ; -30,-89.63,-87.86,-88.19,-83.94
-3 ; -27,-89.65,-89.1,-89.06,-85.34
-3 ; -24,-89.81,-89.33,-87.41,-88.66
-3 ; -21,-89.86,-89.24,-84.39,-85.51
-3 ; -18,-89.91,-88.66,-86.3,-84.57
-3 ; -15,-89.88,-87.71,-89.83,-87.87
-3 ; -12,-89.9,-88.0,-89.19,-88.6
-3 ; -9,-89.85,-87.02,-86.06,-87.36
-3 ; -6,-89.83,-86.81,-84.85,-84.21
-3 ; -3,-89.86,-87.46,-86.53,-83.99
-3 ; 0,-89.78,-88.28,-87.96,-86.79
-3 ; 3,-89.82,-88.75,-88.22,-88.08
-3 ; 6,-89.8,-89.55,-84.78,-86.18
-3 ; 9,-89.27,-89.84,-82.94,-82.27
-3 ; 12,-89.28,-89.61,-81.36,-81.77
-3 ; 15,-89.22,-89.09,-82.02,-80.43
-3 ; 18,-89.27,-87.86,-82.26,-80.03
-3 ; 21,-89.27,-86.19,-78.18,-79.5
-3 ; 24,-89.26,-84.91,-75.38,-76.1
-3 ; 27,-89.27,-84.39,-73.94,-74.95
-3 ; 30,-89.3,-83.11,-72.64,-72.51
-3 ; 33,-89.26,-82.23,-72.61,-73.08
-3 ; 36,-89.29,-81.8,-73.16,-74.18
-3 ; 39,-89.36,-81.89,-75.53,-75.08
-3 ; 42,-89.24,-82.3,-77.6,-77.12
-3 ; 45,-89.28,-82.23,-82.74,-80.36
0 ; -45,-89.7,-86.36,-86.79,-85.77
0 ; -42,-89.7,-86.62,-89.35,-87.43
0 ; -39,-89.7,-86.32,-85.37,-82.82
0 ; -36,-89.69,-87.42,-86.84,-88.0
0 ; -33,-89.63,-87.47,-89.26,-86.84
0 ; -30,-89.59,-87.32,-86.6,-88.11
0 ; -27,-89.6,-88.49,-89.68,-87.27
0 ; -24,-89.83,-89.28,-88.13,-88.75
0 ; -21,-89.86,-89.0,-87.05,-86.62
0 ; -18,-89.85,-88.87,-86.94,-84.19
0 ; -15,-89.84,-88.5,-87.44,-87.88
0 ; -12,-89.89,-88.46,-89.38,-88.96
0 ; -9,-89.85,-87.97,-88.1,-89.51
0 ; -6,-89.78,-86.22,-83.87,-84.74
0 ; -3,-89.9,-87.22,-85.47,-88.89
0 ; 0,-89.84,-88.25,-87.72,-88.26
0 ; 3,-89.84,-88.41,-88.07,-87.34
0 ; 6,-89.79,-89.44,-85.37,-84.2
0 ; 9,-89.23,-89.51,-81.2,-82.93
0 ; 12,-89.25,-89.87,-79.68,-85.75
0 ; 15,-89.23,-89.69,-79.12,-85.77
0 ; 18,-89.36,-88.6,-79.03999999999999,-86.18
0 ; 21,-89.3,-87.17,-77.28,-80.95
0 ; 24,-89.26,-86.18,-74.73,-77.77
0 ; 27,-89.32,-84.94,-72.64,-76.34
0 ; 30,-89.26,-83.81,-71.51,-75.2
0 ; 33,-89.25,-83.07,-71.52,-74.8
0 ; 36,-89.27,-82.13,-72.46000000000001,-75.2
0 ; 39,-89.26,-81.99,-74.03,-78.35
0 ; 42,-89.3,-82.7,-76.74,-79.73
0 ; 45,-89.25,-82.65,-80.59,-83.72
3 ; -45,-89.7,-86.72,-84.62,-87.36
3 ; -42,-89.7,-86.7,-88.22,-86.84
3 ; -39,-89.7,-87.48,-86.77,-87.72
3 ; -36,-89.7,-88.39,-85.17,-82.83
3 ; -33,-89.7,-88.31,-86.39,-84.67
3 ; -30,-89.7,-88.12,-86.31,-85.08
3 ; -27,-89.7,-88.73,-88.82,-84.26
3 ; -24,-89.7,-89.6,-88.12,-87.23
3 ; -21,-89.7,-89.27,-85.81,-87.51
3 ; -18,-89.7,-88.81,-85.03,-83.99
3 ; -15,-89.7,-88.51,-88.91,-84.39
3 ; -12,-89.7,-88.09,-89.69,-86.33
3 ; -9,-89.7,-87.53,-86.86,-84.75
3 ; -6,-89.7,-86.2,-83.5,-89.8
3 ; -3,-89.7,-86.52,-84.17,-89.08
3 ; 0,-89.7,-87.88,-87.39,-89.42
3 ; 3,-89.7,-89.36,-88.03,-89.36
3 ; 6,-89.7,-89.77,-85.2,-87.05
3 ; 9,-89.7,-89.77,-81.98,-88.47
3 ; 12,-89.7,-89.66,-79.88,-87.71
3 ; 15,-89.7,-89.14,-78.91,-89.64
3 ; 18,-89.7,-88.11,-78.67,-88.78
3 ; 21,-89.7,-86.64,-77.1,-84.61
3 ; 24,-89.7,-85.6,-74.57,-83.96
3 ; 27,-89.7,-84.87,-72.89,-82.45
3 ; 30,-89.7,-83.5,-71.52,-78.21000000000001
3 ; 33,-89.7,-82.8,-71.44,-79.76
3 ; 36,-89.7,-82.78,-72.53999999999999,-81.9
3 ; 39,-89.7,-82.4,-74.17,-81.58
3 ; 42,-89.7,-82.8,-76.25,-82.92
3 ; 45,-89.7,-83.11,-80.35,-81.67
6 ; -45,-89.7,-87.2,-83.98,-87.51
6 ; -42,-89.7,-87.04,-86.24,-88.17
